institution,total,total_men,total_women,total_amind,men_amind,women_amind,total_asian,men_asian,women_asian,total_black,men_black,women_black,total_hisp,men_hisp,women_hisp,total_hapac,men_hapac,women_hapac,total_white,men_white,women_white,total_twoplus,men_twoplus,women_twoplus,total_unk,men_unk,women_unk,total_alien,men_alien,women_alien,sector,degree_status,level,hbcu,tribal,p_admit_total,p_admit_men,p_admit_women,sat_math_25,sat_math_75,act_math_25,act_math_75,out_tuition,in_tuition,total_eng,men_eng,women_eng,amind_eng,amind_men_eng,amind_women_eng,asian_eng,asian_men_eng,asian_women_eng,black_eng,black_men_eng,black_women_eng,hisp_eng,hisp_men_eng,hisp_women_eng,hapac_eng,hapac_men_eng,hapac_women_eng,white_eng,white_men_eng,white_women_eng,twoplus_eng,twoplus_men_eng,twoplus_women_eng,unk_eng,unk_men_eng,unk_women_eng,alien_eng,alien_men_eng,alien_women_eng,total_bio,men_bio,women_bio,amind_bio,amind_men_bio,amind_women_bio,asian_bio,asian_men_bio,asian_women_bio,black_bio,black_men_bio,black_women_bio,hisp_bio,hisp_men_bio,hisp_women_bio,hapac_bio,hapac_men_bio,hapac_women_bio,white_bio,white_men_bio,white_women_bio,unk_bio,unk_men_bio,unk_women_bio,twoplus_bio,twoplus_men_bio,twoplus_women_bio,alien_bio,alien_men_bio,alien_women_bio,total_math,men_math,women_math,amind_math,amind_men_math,amind_women_math,asian_math,asian_men_math,asian_women_math,black_math,black_men_math,black_women_math,hisp_math,hisp_men_math,hisp_women_math,hapac_math,hapac_men_math,hapac_women_math,white_math,white_men_math,white_women_math,twoplus_math,twoplus_men_math,twoplus_women_math,unk_math,unk_men_math,unk_women_math,alien_math,alien_men_math,alien_women_math,total_phys,men_phys,women_phys,amind_phys,amind_men_phys,amind_women_phys,asian_phys,asian_men_phys,asian_women_phys,black_phys,black_men_phys,black_women_phys,hisp_phys,hisp_men_phys,hisp_women_phys,hapac_phys,hapac_men_phys,hapac_women_phys,white_phys,white_men_phys,white_women_phys,twoplus_phys,twoplus_men_phys,twoplus_women_phys,unk_phys,unk_men_phys,unk_women_phys,alien_phys,alien_men_phys,alien_women_phys
The Art Institute of Raleigh-Durham,610,298,312,12,7,5,3,1,2,305,148,157,48,20,28,8,5,3,202,102,100,0,0,0,32,15,17,0,0,0,3,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,17128,17128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
The Art Institute of Salt Lake City,375,198,177,0,0,0,1,0,1,0,0,0,62,32,30,0,0,0,20,11,9,0,0,0,292,155,137,0,0,0,3,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,14896,14896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
The Art Institute of San Antonio,1070,564,506,5,5,0,15,6,9,132,70,62,540,295,245,16,8,8,300,135,165,0,0,0,62,45,17,0,0,0,3,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,17668,17668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
The Art Institute of Seattle,1378,759,619,1,0,1,14,7,7,2,0,2,176,105,71,0,0,0,62,36,26,0,0,0,1123,611,512,0,0,0,3,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,17560,17560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
The Art Institute of St Louis,455,196,259,5,4,1,2,2,0,196,96,100,18,6,12,3,1,2,217,79,138,0,0,0,14,8,6,0,0,0,3,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,13780,13780,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
The Art Institute of Tennessee-Nashville,822,418,404,6,2,4,7,2,5,199,121,78,59,28,31,3,1,2,393,178,215,31,11,20,124,75,49,0,0,0,3,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,17596,17596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
The Art Institute of Tucson,388,211,177,14,5,9,10,3,7,17,9,8,164,86,78,0,0,0,127,77,50,10,5,5,46,26,20,0,0,0,3,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,17416,17416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
The Art Institute of Virginia Beach,632,280,352,11,5,6,15,13,2,272,126,146,69,28,41,10,4,6,238,97,141,1,1,0,16,6,10,0,0,0,3,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,17596,17596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
The Art Institute of Washington,1195,679,516,9,5,4,38,21,17,580,329,251,158,93,65,14,4,10,186,95,91,0,0,0,210,132,78,0,0,0,3,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,17596,17596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
The Art Institute of Washington-Dulles,191,90,101,1,1,0,16,6,10,38,21,17,31,12,19,2,0,2,76,32,44,0,0,0,27,18,9,0,0,0,3,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,17596,17596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
